Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
302,'0<=X<200','no credits/all paid',4,3804,'<100','1<=X<4','female div/dep/mar',42,'skilled',0
303,'>=200','critical/other existing credit',10,1344,'no known savings','4<=X<7','male single',37,'unskilled resident',0
304,'<0','critical/other existing credit',10,1038,'<100','4<=X<7','male single',49,'skilled',1
305,'no checking','critical/other existing credit',10,10127,'500<=X<1000','1<=X<4','male single',44,'skilled',0
306,'no checking','existing paid',3,1543,'>=1000','1<=X<4','male div/sep',33,'skilled',1
307,'no checking','existing paid',2,4811,'no known savings','4<=X<7','female div/dep/mar',24,'unskilled resident',1
308,'<0','existing paid',4,727,'100<=X<500','<1','male mar/wid',33,'unskilled resident',0
309,'0<=X<200','existing paid',3,1237,'<100','1<=X<4','female div/dep/mar',24,'skilled',0
310,'0<=X<200','existing paid',10,276,'<100','1<=X<4','male mar/wid',22,'unskilled resident',1
311,'0<=X<200','existing paid',0,5381,'no known savings',unemployed,'male single',40,'unemp/unskilled non res',1
312,'no checking','existing paid',3,5511,'100<=X<500','1<=X<4','male single',25,'skilled',1
313,'>=200','existing paid',3,3749,'<100','<1','female div/dep/mar',26,'skilled',1
314,'0<=X<200','existing paid',10,685,'<100','4<=X<7','male mar/wid',25,'unskilled resident',0
315,'>=200','existing paid',10,1494,'no known savings','<1','male single',29,'unskilled resident',1
316,'<0','all paid',3,2746,'<100','>=7','male single',31,'skilled',0
317,'<0','existing paid',3,708,'<100','1<=X<4','male single',38,'unskilled resident',1
318,'0<=X<200','existing paid',3,4351,'no known savings','1<=X<4','female div/dep/mar',48,'unskilled resident',1
319,'no checking','critical/other existing credit',7,701,'<100','1<=X<4','male single',32,'skilled',1
320,'<0','delayed previously',3,3643,'<100','>=7','female div/dep/mar',27,'unskilled resident',1
321,'0<=X<200','critical/other existing credit',10,4249,'<100',unemployed,'male mar/wid',28,'high qualif/self emp/mgmt',0
322,'<0','existing paid',4,1938,'<100','<1','male div/sep',32,'skilled',0
323,'<0','existing paid',2,2910,'<100','4<=X<7','male single',34,'high qualif/self emp/mgmt',1
324,'<0','existing paid',3,2659,'>=1000','1<=X<4','male single',28,'skilled',1
325,'no checking','critical/other existing credit',10,1028,'<100','1<=X<4','female div/dep/mar',36,'skilled',1
326,'<0','critical/other existing credit',10,3398,'<100','4<=X<7','male single',39,'unskilled resident',1
327,'no checking','critical/other existing credit',3,5801,'no known savings','>=7','male single',49,'skilled',1
328,'no checking','existing paid',10,1525,'>=1000','4<=X<7','female div/dep/mar',34,'skilled',1
329,'>=200','existing paid',4,4473,'<100','>=7','male single',31,'skilled',1
330,'0<=X<200','existing paid',4,1068,'<100','>=7','male single',28,'skilled',1
331,'<0','critical/other existing credit',2,6615,'<100',unemployed,'male single',75,'high qualif/self emp/mgmt',1
332,'no checking','critical/other existing credit',7,1864,'100<=X<500','1<=X<4','female div/dep/mar',30,'skilled',0
333,'0<=X<200','existing paid',10,7408,'100<=X<500','<1','female div/dep/mar',24,'high qualif/self emp/mgmt',0
334,'no checking','critical/other existing credit',2,11590,'100<=X<500','1<=X<4','female div/dep/mar',24,'unskilled resident',0
335,'<0','no credits/all paid',3,4110,'<100','>=7','male single',23,'skilled',0
336,'<0','critical/other existing credit',3,3384,'<100','1<=X<4','male div/sep',44,'high qualif/self emp/mgmt',0
337,'0<=X<200','existing paid',4,2101,'<100','<1','female div/dep/mar',23,'unskilled resident',1
338,'<0','existing paid',5,1275,'no known savings','1<=X<4','female div/dep/mar',24,'skilled',0
339,'<0','existing paid',3,4169,'<100','1<=X<4','male single',28,'skilled',1
340,'0<=X<200','existing paid',3,1521,'<100','1<=X<4','male div/sep',31,'unskilled resident',1
341,'0<=X<200','critical/other existing credit',7,5743,'<100','<1','female div/dep/mar',24,'skilled',1
342,'<0','existing paid',3,3599,'<100','4<=X<7','female div/dep/mar',26,'unskilled resident',1
343,'0<=X<200','existing paid',4,3213,'500<=X<1000','<1','male mar/wid',25,'skilled',1
344,'0<=X<200','existing paid',1,4439,'<100','>=7','male single',33,'high qualif/self emp/mgmt',1
345,'>=200','existing paid',10,3949,'<100','<1','male single',37,'unskilled resident',1
346,'no checking','critical/other existing credit',4,1459,'<100','1<=X<4','female div/dep/mar',43,'unskilled resident',1
347,'0<=X<200','critical/other existing credit',4,882,'<100','<1','male single',23,'skilled',1
348,'0<=X<200','existing paid',4,3758,'500<=X<1000',unemployed,'female div/dep/mar',23,'unemp/unskilled non res',1
349,'no checking','delayed previously',1,1743,'100<=X<500','1<=X<4','male single',34,'unskilled resident',1
350,'0<=X<200','critical/other existing credit',7,1136,'>=1000','>=7','male single',32,'skilled',0
351,'no checking','existing paid',5,1236,'<100','<1','female div/dep/mar',23,'skilled',1
352,'0<=X<200','existing paid',3,959,'<100','1<=X<4','female div/dep/mar',29,'skilled',0
353,'no checking','critical/other existing credit',2,3229,'no known savings',unemployed,'male single',38,'high qualif/self emp/mgmt',1
354,'<0','no credits/all paid',4,6199,'<100','1<=X<4','male single',28,'skilled',0
355,'no checking','existing paid',7,727,'500<=X<1000','>=7','male single',46,'skilled',1
356,'0<=X<200','existing paid',10,1246,'<100','<1','male single',23,'unskilled resident',0
357,'no checking','critical/other existing credit',4,2331,'no known savings','>=7','male single',49,'skilled',1
358,'no checking','delayed previously',4,4463,'<100','1<=X<4','male single',26,'high qualif/self emp/mgmt',0
359,'no checking','existing paid',4,776,'<100','1<=X<4','male mar/wid',28,'skilled',1
360,'<0','existing paid',3,2406,'<100','4<=X<7','female div/dep/mar',23,'skilled',0
361,'0<=X<200','existing paid',7,1239,'no known savings','1<=X<4','male single',61,'skilled',1
362,'>=200','existing paid',4,3399,'no known savings','>=7','male single',37,'high qualif/self emp/mgmt',1
363,'>=200','delayed previously',10,2247,'<100','1<=X<4','female div/dep/mar',36,'skilled',1
364,'no checking','existing paid',3,1766,'<100','1<=X<4','male mar/wid',21,'skilled',1
365,'<0','existing paid',3,2473,'<100',unemployed,'male single',25,'unemp/unskilled non res',0
366,'no checking','existing paid',1,1542,'<100','4<=X<7','male single',36,'skilled',1
367,'no checking','critical/other existing credit',2,3850,'<100','4<=X<7','male single',27,'skilled',1
368,'<0','existing paid',3,3650,'<100','<1','female div/dep/mar',22,'skilled',1
369,'<0','existing paid',3,3446,'<100','>=7','male single',42,'skilled',0
370,'0<=X<200','existing paid',3,3001,'<100','4<=X<7','female div/dep/mar',40,'skilled',1
371,'no checking','existing paid',10,3079,'no known savings','1<=X<4','male single',36,'skilled',1
372,'no checking','critical/other existing credit',4,6070,'<100','>=7','male single',33,'skilled',1
373,'no checking','critical/other existing credit',3,2146,'<100','<1','female div/dep/mar',23,'skilled',1
374,'no checking','critical/other existing credit',10,13756,'no known savings','>=7','male single',63,'high qualif/self emp/mgmt',1
375,'0<=X<200','all paid',0,14782,'100<=X<500','>=7','female div/dep/mar',60,'high qualif/self emp/mgmt',0
376,'<0','all paid',1,7685,'<100','4<=X<7','female div/dep/mar',37,'skilled',0
377,'no checking','delayed previously',4,2320,'<100',unemployed,'male mar/wid',34,'skilled',1
378,'no checking','delayed previously',4,846,'no known savings','>=7','male single',36,'skilled',1
379,'0<=X<200','existing paid',10,14318,'<100','>=7','male single',57,'high qualif/self emp/mgmt',0
380,'no checking','critical/other existing credit',10,362,'100<=X<500','1<=X<4','female div/dep/mar',52,'unskilled resident',1
381,'<0','existing paid',3,2212,'no known savings','4<=X<7','male single',39,'skilled',1
382,'0<=X<200','existing paid',2,12976,'<100',unemployed,'female div/dep/mar',38,'high qualif/self emp/mgmt',0
383,'no checking','existing paid',10,1283,'no known savings','4<=X<7','female div/dep/mar',25,'skilled',1
384,'>=200','existing paid',10,1330,'<100','<1','male single',26,'skilled',1
385,'no checking','delayed previously',1,4272,'100<=X<500','1<=X<4','male single',26,'unskilled resident',1
386,'no checking','critical/other existing credit',4,2238,'<100','1<=X<4','female div/dep/mar',25,'skilled',1
387,'no checking','existing paid',4,1126,'no known savings','<1','female div/dep/mar',21,'skilled',1
388,'0<=X<200','critical/other existing credit',3,7374,'<100',unemployed,'male single',40,'high qualif/self emp/mgmt',1
389,'0<=X<200','critical/other existing credit',1,2326,'500<=X<1000','1<=X<4','male single',27,'skilled',1
390,'no checking','existing paid',1,1449,'<100','4<=X<7','female div/dep/mar',27,'skilled',1
391,'no checking','existing paid',10,1820,'<100','1<=X<4','male mar/wid',30,'high qualif/self emp/mgmt',1
392,'0<=X<200','existing paid',3,983,'>=1000','<1','female div/dep/mar',19,'unskilled resident',1
393,'<0','existing paid',10,3249,'<100','4<=X<7','male single',39,'high qualif/self emp/mgmt',1
394,'<0','critical/other existing credit',4,1957,'<100','4<=X<7','female div/dep/mar',31,'skilled',1
395,'no checking','critical/other existing credit',3,2406,'<100',unemployed,'male single',31,'high qualif/self emp/mgmt',1
396,'0<=X<200','delayed previously',7,11760,'100<=X<500','4<=X<7','male single',32,'skilled',1
397,'<0','existing paid',3,2578,'<100',unemployed,'female div/dep/mar',55,'high qualif/self emp/mgmt',1
398,'<0','critical/other existing credit',3,2348,'<100','1<=X<4','male mar/wid',46,'skilled',1
399,'0<=X<200','existing paid',10,1223,'<100','>=7','male div/sep',46,'skilled',0
400,'no checking','critical/other existing credit',4,1516,'>=1000','1<=X<4','female div/dep/mar',43,'unskilled resident',1
401,'no checking','existing paid',4,1473,'<100','<1','male mar/wid',39,'skilled',1
402,'0<=X<200','critical/other existing credit',1,1887,'no known savings','1<=X<4','male mar/wid',28,'skilled',1
403,'no checking','delayed previously',1,8648,'<100','<1','male single',27,'skilled',0
404,'no checking','delayed previously',10,802,'<100','1<=X<4','male single',27,'unskilled resident',1
405,'0<=X<200','delayed previously',10,2899,'no known savings','>=7','male single',43,'skilled',1
406,'0<=X<200','existing paid',4,2039,'<100','<1','male mar/wid',22,'skilled',0
407,'no checking','critical/other existing credit',2,2197,'no known savings','4<=X<7','male single',43,'skilled',1
408,'<0','existing paid',4,1053,'<100','<1','male mar/wid',27,'skilled',1
409,'no checking','existing paid',4,3235,'500<=X<1000','>=7','male div/sep',26,'high qualif/self emp/mgmt',1
410,'>=200','critical/other existing credit',10,939,'500<=X<1000','4<=X<7','male mar/wid',28,'skilled',0
411,'0<=X<200','existing paid',4,1967,'<100','>=7','female div/dep/mar',20,'skilled',1
412,'no checking','critical/other existing credit',2,7253,'<100','4<=X<7','male single',35,'high qualif/self emp/mgmt',1
413,'no checking','critical/other existing credit',1,2292,'<100',unemployed,'male single',42,'high qualif/self emp/mgmt',0
414,'no checking','existing paid',10,1597,'500<=X<1000','1<=X<4','male single',40,'unskilled resident',1
415,'<0','existing paid',10,1381,'no known savings','1<=X<4','female div/dep/mar',35,'skilled',0
416,'no checking','critical/other existing credit',2,5842,'<100','>=7','male single',35,'skilled',1
417,'<0','existing paid',10,2579,'<100','<1','male single',33,'unskilled resident',0
418,'<0','delayed previously',7,8471,'no known savings','1<=X<4','female div/dep/mar',23,'skilled',1
419,'no checking','existing paid',10,2782,'500<=X<1000','4<=X<7','female div/dep/mar',31,'high qualif/self emp/mgmt',1
420,'0<=X<200','existing paid',10,1042,'no known savings','1<=X<4','female div/dep/mar',33,'skilled',0
421,'no checking','existing paid',10,3186,'>=1000','4<=X<7','female div/dep/mar',20,'skilled',1
422,'0<=X<200','existing paid',2,2028,'no known savings','1<=X<4','male single',30,'skilled',1
423,'0<=X<200','critical/other existing credit',10,958,'<100','4<=X<7','male single',47,'unskilled resident',1
424,'no checking','delayed previously',3,1591,'100<=X<500','4<=X<7','male single',34,'high qualif/self emp/mgmt',1
425,'0<=X<200','existing paid',3,2762,'no known savings','>=7','female div/dep/mar',25,'skilled',0
426,'0<=X<200','existing paid',2,2779,'<100','1<=X<4','male mar/wid',21,'skilled',1
427,'no checking','critical/other existing credit',4,2743,'<100','>=7','male single',29,'skilled',1
428,'no checking','critical/other existing credit',4,1149,'>=1000','1<=X<4','male single',46,'skilled',1
429,'no checking','existing paid',3,1313,'<100','>=7','male single',20,'skilled',1
430,'<0','critical/other existing credit',6,1190,'<100',unemployed,'female div/dep/mar',55,'unemp/unskilled non res',0
431,'no checking','existing paid',1,3448,'<100','4<=X<7','male single',74,'unskilled resident',1
432,'0<=X<200','existing paid',0,11328,'<100','1<=X<4','male single',29,'high qualif/self emp/mgmt',0
433,'<0','critical/other existing credit',3,1872,'<100',unemployed,'male single',36,'high qualif/self emp/mgmt',1
434,'no checking','critical/other existing credit',6,2058,'<100','1<=X<4','male div/sep',33,'skilled',1
435,'<0','existing paid',3,2136,'<100','1<=X<4','male single',25,'skilled',1
436,'0<=X<200','existing paid',4,1484,'no known savings','1<=X<4','male mar/wid',25,'skilled',0
437,'no checking','existing paid',6,660,'500<=X<1000','4<=X<7','male mar/wid',23,'unskilled resident',1
438,'no checking','critical/other existing credit',10,1287,'>=1000','>=7','female div/dep/mar',37,'skilled',1
439,'<0','critical/other existing credit',6,3394,'<100',unemployed,'male single',65,'unemp/unskilled non res',1
440,'>=200','all paid',1,609,'<100','<1','female div/dep/mar',26,'unemp/unskilled non res',0
441,'no checking','existing paid',10,1884,'<100','>=7','male single',39,'high qualif/self emp/mgmt',1
442,'<0','existing paid',3,1620,'<100','1<=X<4','female div/dep/mar',30,'skilled',1
443,'0<=X<200','delayed previously',0,2629,'<100','1<=X<4','male single',29,'skilled',1
444,'no checking','existing paid',7,719,'<100','>=7','male single',41,'unskilled resident',0
445,'0<=X<200','critical/other existing credit',3,5096,'<100','1<=X<4','female div/dep/mar',30,'high qualif/self emp/mgmt',0
446,'no checking','critical/other existing credit',7,1244,'no known savings','>=7','female div/dep/mar',41,'unskilled resident',1
447,'<0','existing paid',10,1842,'<100','<1','female div/dep/mar',34,'skilled',0
448,'0<=X<200','existing paid',4,2576,'<100','1<=X<4','male single',35,'skilled',1
449,'>=200','existing paid',3,1424,'no known savings','>=7','female div/dep/mar',55,'high qualif/self emp/mgmt',1
450,'0<=X<200','delayed previously',6,1512,'>=1000','1<=X<4','male mar/wid',61,'skilled',0
451,'no checking','critical/other existing credit',2,11054,'no known savings','1<=X<4','male single',30,'high qualif/self emp/mgmt',1
452,'no checking','existing paid',4,518,'<100','1<=X<4','female div/dep/mar',29,'skilled',1
453,'no checking','no credits/all paid',3,2759,'<100','>=7','male single',34,'skilled',1
454,'no checking','existing paid',2,2670,'<100','>=7','male single',35,'high qualif/self emp/mgmt',1
455,'<0','existing paid',10,4817,'<100','4<=X<7','male single',31,'skilled',0
456,'no checking','existing paid',2,2679,'<100','<1','female div/dep/mar',29,'high qualif/self emp/mgmt',1
457,'<0','critical/other existing credit',10,3905,'<100','1<=X<4','male single',36,'skilled',1
458,'<0','existing paid',2,3386,'<100','>=7','male single',35,'skilled',0
459,'<0','existing paid',5,343,'<100','<1','female div/dep/mar',27,'skilled',1
460,'no checking','existing paid',4,4594,'<100','<1','male single',32,'skilled',1
461,'<0','existing paid',3,3620,'<100','1<=X<4','male single',37,'skilled',1
462,'<0','existing paid',10,1721,'<100','<1','male single',36,'skilled',1
463,'0<=X<200','existing paid',3,3017,'<100','<1','female div/dep/mar',34,'high qualif/self emp/mgmt',1
464,'0<=X<200','existing paid',9,754,'no known savings','>=7','male single',38,'skilled',1
465,'no checking','existing paid',1,1950,'<100','4<=X<7','male single',34,'skilled',1
466,'<0','existing paid',2,2924,'<100','1<=X<4','male single',63,'skilled',1
467,'<0','delayed previously',4,1659,'<100','<1','female div/dep/mar',29,'unskilled resident',0
468,'no checking','delayed previously',4,7238,'no known savings','>=7','male single',32,'skilled',1
469,'no checking','delayed previously',1,2764,'<100','1<=X<4','female div/dep/mar',26,'skilled',1
470,'no checking','delayed previously',2,4679,'<100','4<=X<7','male single',35,'unskilled resident',1
471,'0<=X<200','existing paid',4,3092,'100<=X<500','<1','male mar/wid',22,'skilled',0
472,'<0','existing paid',7,4480,'<100','<1','female div/dep/mar',23,'skilled',0
473,'<0','existing paid',10,654,'<100','1<=X<4','male single',28,'unskilled resident',0
474,'no checking','existing paid',9,1238,'no known savings',unemployed,'male single',36,'high qualif/self emp/mgmt',1
475,'0<=X<200','critical/other existing credit',4,1245,'<100','1<=X<4','male mar/wid',33,'skilled',0
476,'<0','no credits/all paid',3,3114,'<100','<1','female div/dep/mar',26,'skilled',0
477,'no checking','existing paid',2,2569,'500<=X<1000','1<=X<4','male single',24,'skilled',1
478,'>=200','existing paid',4,5152,'<100','4<=X<7','male single',25,'skilled',1
479,'0<=X<200','existing paid',1,1037,'100<=X<500','4<=X<7','male single',39,'unskilled resident',1
480,'<0','critical/other existing credit',3,1478,'<100','>=7','male single',44,'skilled',1
481,'0<=X<200','critical/other existing credit',4,3573,'<100','1<=X<4','female div/dep/mar',23,'unskilled resident',1
482,'0<=X<200','existing paid',10,1201,'<100','<1','male single',26,'skilled',1
483,'<0','existing paid',3,3622,'>=1000','>=7','female div/dep/mar',57,'skilled',1
484,'no checking','delayed previously',3,960,'>=1000','4<=X<7','female div/dep/mar',30,'skilled',1
485,'no checking','critical/other existing credit',10,1163,'500<=X<1000','1<=X<4','male single',44,'skilled',1
486,'0<=X<200','delayed previously',10,1209,'<100',unemployed,'male single',47,'high qualif/self emp/mgmt',0
487,'no checking','existing paid',4,3077,'<100','1<=X<4','male single',52,'skilled',1
488,'no checking','existing paid',10,3757,'<100','>=7','female div/dep/mar',62,'skilled',1
489,'no checking','existing paid',10,1418,'100<=X<500','1<=X<4','male single',35,'unskilled resident',1
490,'no checking','existing paid',10,3518,'<100','1<=X<4','male single',26,'skilled',1
491,'no checking','critical/other existing credit',4,1934,'<100','>=7','male single',26,'skilled',1
492,'0<=X<200','no credits/all paid',1,8318,'<100','>=7','female div/dep/mar',42,'high qualif/self emp/mgmt',0
493,'no checking','critical/other existing credit',4,1237,'100<=X<500','1<=X<4','female div/dep/mar',27,'skilled',1
494,'0<=X<200','existing paid',4,368,'no known savings','>=7','male single',38,'skilled',1
495,'<0','critical/other existing credit',10,2122,'<100','1<=X<4','male single',39,'unskilled resident',1
496,'<0','existing paid',3,2996,'no known savings','1<=X<4','male mar/wid',20,'skilled',0
497,'0<=X<200','existing paid',3,9034,'100<=X<500','<1','male single',29,'high qualif/self emp/mgmt',0
498,'no checking','critical/other existing credit',3,1585,'<100','4<=X<7','male single',40,'skilled',1
499,'0<=X<200','existing paid',4,1301,'<100','>=7','male mar/wid',32,'unskilled resident',1
500,'>=200','critical/other existing credit',10,1323,'100<=X<500','>=7','male div/sep',28,'skilled',1
501,'<0','existing paid',10,3123,'<100','<1','female div/dep/mar',27,'skilled',0
502,'<0','existing paid',2,5493,'<100','>=7','male single',42,'skilled',1
503,'>=200','existing paid',4,1126,'100<=X<500','>=7','male div/sep',49,'skilled',1
504,'0<=X<200','critical/other existing credit',4,1216,'100<=X<500','<1','male single',38,'skilled',0
505,'<0','existing paid',10,1207,'<100','<1','female div/dep/mar',24,'skilled',0
506,'no checking','existing paid',10,1309,'no known savings','1<=X<4','male single',27,'unskilled resident',0
507,'>=200','critical/other existing credit',2,2360,'500<=X<1000','1<=X<4','male single',36,'skilled',1
508,'0<=X<200','all paid',10,6850,'100<=X<500',unemployed,'male single',34,'high qualif/self emp/mgmt',0
509,'no checking','existing paid',4,1413,'<100','1<=X<4','male mar/wid',28,'skilled',1
510,'no checking','existing paid',2,8588,'100<=X<500','>=7','male single',45,'high qualif/self emp/mgmt',1
511,'<0','existing paid',10,759,'<100','4<=X<7','male single',26,'skilled',0
512,'no checking','existing paid',2,4686,'<100','1<=X<4','male single',32,'high qualif/self emp/mgmt',1
513,'>=200','existing paid',1,2687,'<100','4<=X<7','male single',26,'skilled',1
514,'0<=X<200','delayed previously',4,585,'<100','1<=X<4','male mar/wid',20,'skilled',1
515,'no checking','existing paid',10,2255,'no known savings','<1','male single',54,'skilled',1
516,'<0','critical/other existing credit',10,609,'<100','4<=X<7','female div/dep/mar',37,'skilled',1
517,'<0','critical/other existing credit',10,1361,'<100','<1','male single',40,'unskilled resident',1
518,'no checking','critical/other existing credit',3,7127,'<100','<1','female div/dep/mar',23,'skilled',0
519,'<0','existing paid',10,1203,'100<=X<500','>=7','male single',43,'skilled',1
520,'no checking','critical/other existing credit',4,700,'no known savings','>=7','male single',36,'skilled',1
521,'no checking','critical/other existing credit',6,5507,'<100','>=7','male single',44,'skilled',1
522,'<0','existing paid',4,3190,'<100','1<=X<4','female div/dep/mar',24,'skilled',0
523,'<0','no credits/all paid',3,7119,'<100','1<=X<4','male single',53,'skilled',0
524,'no checking','existing paid',2,3488,'100<=X<500','4<=X<7','female div/dep/mar',23,'skilled',1
525,'0<=X<200','existing paid',4,1113,'<100','1<=X<4','female div/dep/mar',26,'unskilled resident',1
526,'0<=X<200','existing paid',2,7966,'<100','<1','male single',30,'skilled',1
527,'no checking','critical/other existing credit',7,1532,'100<=X<500','1<=X<4','female div/dep/mar',31,'skilled',1
528,'no checking','critical/other existing credit',4,1503,'<100','4<=X<7','male single',42,'unskilled resident',1
529,'<0','existing paid',4,2302,'<100','1<=X<4','male div/sep',31,'skilled',0
530,'<0','existing paid',10,662,'<100','<1','male single',41,'unskilled resident',1
531,'0<=X<200','existing paid',7,2273,'<100','4<=X<7','male single',32,'skilled',1
532,'0<=X<200','existing paid',10,2631,'100<=X<500','1<=X<4','female div/dep/mar',28,'skilled',0
533,'no checking','delayed previously',2,1503,'<100','1<=X<4','male mar/wid',41,'skilled',1
534,'no checking','existing paid',4,1311,'100<=X<500','4<=X<7','male mar/wid',26,'skilled',1
535,'no checking','existing paid',4,3105,'no known savings','<1','male single',25,'skilled',1
536,'>=200','critical/other existing credit',7,2319,'<100','<1','male div/sep',33,'skilled',0
537,'<0','existing paid',10,1374,'no known savings',unemployed,'female div/dep/mar',75,'high qualif/self emp/mgmt',1
538,'0<=X<200','critical/other existing credit',3,3612,'<100','>=7','female div/dep/mar',37,'skilled',1
539,'<0','existing paid',10,7763,'<100','>=7','male single',42,'high qualif/self emp/mgmt',0
540,'>=200','existing paid',3,3049,'<100','<1','female div/dep/mar',45,'unskilled resident',1
541,'0<=X<200','existing paid',4,1534,'<100','<1','male mar/wid',23,'skilled',0
542,'no checking','delayed previously',10,2032,'<100','>=7','male single',60,'skilled',1
543,'<0','existing paid',3,6350,'no known savings','>=7','male single',31,'skilled',0
544,'>=200','existing paid',3,2864,'<100','1<=X<4','male single',34,'unskilled resident',0
545,'no checking','critical/other existing credit',10,1255,'<100','>=7','male single',61,'unskilled resident',1
546,'<0','delayed previously',10,1333,'<100',unemployed,'male single',43,'skilled',0
547,'no checking','critical/other existing credit',10,2022,'<100','1<=X<4','female div/dep/mar',37,'skilled',1
548,'no checking','existing paid',4,1552,'<100','4<=X<7','male single',32,'skilled',1
549,'<0','all paid',4,626,'<100','1<=X<4','female div/dep/mar',24,'unskilled resident',0
550,'no checking','critical/other existing credit',2,8858,'no known savings','4<=X<7','male single',35,'skilled',1
551,'no checking','critical/other existing credit',6,996,'no known savings','4<=X<7','female div/dep/mar',23,'skilled',1
552,'no checking','all paid',4,1750,'500<=X<1000','>=7','male single',45,'unskilled resident',1
553,'<0','existing paid',4,6999,'<100','4<=X<7','male mar/wid',34,'skilled',0
554,'0<=X<200','critical/other existing credit',10,1995,'100<=X<500','<1','male single',27,'skilled',1
555,'0<=X<200','existing paid',7,1199,'<100','4<=X<7','female div/dep/mar',67,'high qualif/self emp/mgmt',1
556,'0<=X<200','existing paid',4,1331,'<100','<1','male single',22,'skilled',0
557,'0<=X<200','no credits/all paid',10,2278,'100<=X<500','<1','female div/dep/mar',28,'skilled',0
558,'no checking','no credits/all paid',10,5003,'no known savings','1<=X<4','female div/dep/mar',29,'skilled',0
559,'<0','all paid',3,3552,'<100','4<=X<7','male single',27,'skilled',0
560,'0<=X<200','critical/other existing credit',3,1928,'<100','<1','male single',31,'unskilled resident',0
561,'<0','existing paid',2,2964,'no known savings','>=7','male single',49,'skilled',1
562,'<0','all paid',4,1546,'<100','4<=X<7','male single',24,'unskilled resident',0
563,'>=200','delayed previously',4,683,'<100','<1','female div/dep/mar',29,'skilled',1
564,'0<=X<200','existing paid',10,12389,'no known savings','1<=X<4','male single',37,'skilled',0
565,'0<=X<200','delayed previously',1,4712,'no known savings','1<=X<4','male single',37,'high qualif/self emp/mgmt',1
566,'0<=X<200','delayed previously',4,1553,'100<=X<500','4<=X<7','female div/dep/mar',23,'skilled',1
567,'<0','existing paid',10,1372,'<100','4<=X<7','male div/sep',36,'skilled',0
568,'no checking','critical/other existing credit',4,2578,'>=1000','>=7','male single',34,'skilled',1
569,'0<=X<200','existing paid',4,3979,'no known savings','4<=X<7','male single',41,'skilled',1
570,'<0','existing paid',4,6758,'<100','1<=X<4','female div/dep/mar',31,'skilled',0
571,'<0','existing paid',3,3234,'<100','<1','female div/dep/mar',23,'unskilled resident',0
572,'no checking','critical/other existing credit',4,5954,'<100','4<=X<7','male single',38,'skilled',1
573,'no checking','existing paid',2,5433,'no known savings',unemployed,'female div/dep/mar',26,'high qualif/self emp/mgmt',1
574,'<0','existing paid',1,806,'<100','1<=X<4','female div/dep/mar',22,'unskilled resident',1
575,'0<=X<200','existing paid',4,1082,'<100','>=7','male single',27,'unskilled resident',1
576,'no checking','critical/other existing credit',3,2788,'<100','4<=X<7','female div/dep/mar',24,'skilled',1
577,'0<=X<200','existing paid',4,2930,'<100','4<=X<7','female div/dep/mar',27,'skilled',1
578,'no checking','critical/other existing credit',7,1927,'no known savings','1<=X<4','female div/dep/mar',33,'skilled',1
579,'0<=X<200','critical/other existing credit',10,2820,'<100','<1','male div/sep',27,'skilled',0
580,'no checking','existing paid',9,937,'<100','<1','male mar/wid',27,'unskilled resident',1
581,'0<=X<200','critical/other existing credit',10,1056,'<100','>=7','male single',30,'skilled',0
582,'0<=X<200','critical/other existing credit',10,3124,'<100','<1','male single',49,'unskilled resident',1
583,'no checking','existing paid',3,1388,'<100','1<=X<4','female div/dep/mar',26,'skilled',1
584,'0<=X<200','existing paid',6,2384,'<100','<1','male single',33,'unskilled resident',0
585,'no checking','existing paid',10,2133,'no known savings','>=7','female div/dep/mar',52,'high qualif/self emp/mgmt',1
586,'<0','existing paid',3,2039,'<100','1<=X<4','female div/dep/mar',20,'skilled',0
587,'<0','critical/other existing credit',10,2799,'<100','1<=X<4','male single',36,'skilled',1
588,'<0','existing paid',3,1289,'<100','1<=X<4','male single',21,'unskilled resident',1
589,'<0','existing paid',5,1217,'<100','1<=X<4','male mar/wid',47,'unskilled resident',0
590,'<0','critical/other existing credit',3,2246,'<100','>=7','male single',60,'skilled',0
591,'<0','critical/other existing credit',4,385,'<100','4<=X<7','female div/dep/mar',58,'unskilled resident',1
592,'0<=X<200','delayed previously',10,1965,'no known savings','1<=X<4','female div/dep/mar',42,'skilled',1
593,'no checking','existing paid',1,1572,'>=1000','>=7','female div/dep/mar',36,'unskilled resident',1
594,'0<=X<200','existing paid',10,2718,'<100','1<=X<4','female div/dep/mar',20,'unskilled resident',0
595,'<0','all paid',0,1358,'no known savings','>=7','male single',40,'high qualif/self emp/mgmt',0
596,'0<=X<200','all paid',10,931,'100<=X<500','<1','female div/dep/mar',32,'unskilled resident',0
597,'<0','existing paid',10,1442,'<100','4<=X<7','female div/dep/mar',23,'skilled',0
598,'0<=X<200','no credits/all paid',1,4241,'<100','1<=X<4','male single',36,'unskilled resident',0
599,'no checking','critical/other existing credit',10,2775,'<100','4<=X<7','male single',31,'skilled',0
600,'no checking','delayed previously',1,3863,'<100','1<=X<4','male single',32,'skilled',1
601,'0<=X<200','existing paid',4,2329,'<100','<1','female div/dep/mar',45,'skilled',1
602,'0<=X<200','existing paid',3,918,'<100','1<=X<4','female div/dep/mar',30,'skilled',0
